Username,Comment,Date
s*****g,"Skin Suitability:good
Effectiveness:good

packed well goods received in good..  took 2 days to received normal delivery..  ..  kind and polite courier service,   will inform when reach for deliver",2024-03-16
k*****n,"Item was well packed and received in perfect condition. Fast delivery too! ⭐️⭐️⭐️⭐️⭐️

Really convenient to use especially during the day when you can retouch a pimple gel or cream.",2024-01-28
b*****x,Ordered and received the next 2 days in good condition as it is well packed. Absorption is faster compared to other brand in my opinion.,2024-03-16
goku186,sampai dengan selamat. penghantaran pun pantas. dah try guna juga. cuma taktau la berkesan ka dak. macam xdak apa2 pun. dia memang lekat kuat juga. jerawat tu cepat la kecut. mungkin kena pakai kerap2 ok kot.,2024-02-13
r8cs4gbcz0,"Skin Suitability:Ok
Effectiveness:Ok

Produk bagus. Kualiti baik sepadan dengan harga. Wrapping bagus. Packaging bagus. Penghantaran cepat. Barang diterima dengan baik. Takde kerosakan. Saya berpuas hati. Boleh repeat produk yg lain pulak nanti. Tq seller",2023-10-15
aida_sharif98,"Parcel diterima dalam keadaan baik, seller ship out brang cepat and dibalut kemas and selamat, harga berpatutan, overall puas hti, recommended and will repeat again soon",2024-03-10
s*****o,Really fast delivery & awesome packaging too! Best thing is bought it with very good price during sales & with additional discount from Shopee vouchers too. I enjoy shopping with Shopee nowadays cos I don’t think I can get such good price at other places 😬,2024-01-01
chokinoni98,"Skin Suitability:good
Effectiveness:very well

the packaging is cute and the delivery was fast. dh banyak kali repeat Yeah its good suck all the pimple thanks seller",2023-09-01
j*****y,Very fast delivery tho. I already use one and yes gladly it's not sticky. Thank u seller. Ah btw very nice packaging as well! Lots of bubble wrap so good job seller. ,2023-08-29
w*****n,Good product. Fast delivery. Good packaging. Will purchase again with offer. Thanks seller. Satisfying purchase. Good value for money. Cheaper than buying in offline shop,2024-03-03
draziq,"Effectiveness:Effective
Skin Suitability:Suits me well

Fast delivery , and the product is secured in bubble wraps . Very good , and item received in perfect condition.",2023-11-27
szz69,"Skin Suitability:good
Effectiveness:good

Wow, so fast.. I ordered yesterday, this noon have been delivered... So far it's good and the seller also really fast to do their things...",2023-08-29
n*****2,"Effectiveness:good
Skin Suitability:oily skin

Fast delivery 🚚💨📦 Kalau ada jerawat takda mata tu tempek ja acne patch ni, lama lama dia akan surut, dah try banyak jenama acne patch tapi yang ni the best one, sesuai dengan kulit 🥰",2023-08-14
d*****a,"Skin Suitability:good
Effectiveness:good

Good for skin, it absorps oil on face the next day the pimple would shrink my teenage daughter loves it thanks seller fast delivery also",2023-08-22
nurmyra2,"Fast delivery 🚚 Ni kali kedua order 📦 Packaging dia kemas balut dengan bubble wrap. Thank you bagi free gift hydrating water gel, dah lama nak try tapi tak pernah beli. Hope sesuai nanti boleh beli size besar 🥰🥰🥰",2020-11-14
f*****7,"Skin Suitability:great
Effectiveness:super great

Have been using this for so many years now. Use this since degree first year then hbs belajaq then tnm angguq then engaged then married and now ada anak dah pon. LOL so you can tell really love this patch. During pregnant ja la x guna. Blessed with clear skin at that time 🤪 at that time ja la 🤣",2023-08-29
fatinshakinah,"Skin Suitability:semua jenis skin sesuai..
Effectiveness:kesan dia bagus pakai hari ni esok jerawat yg ada mata dah lekat kat situ..

Memang akan repeat order..sbb acne patch ni best..tq..dah sampai..cepat sngt seller buat keje..❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",2023-08-31
a*****h,"Skin Suitability:nice
Effectiveness:good

i love it it works well for my acne and its also invisible when i apply it on my skin. love!!! will def repeat",2023-11-14
q*****i,"I bought this on 29 June 2022 and the parcel takes 4 days to delivered..overall in term of packaging and the box doesnt have any density, tip top. Keep up the good work seller, and sure I will repeat to buy from this store in another time 👍🏻😄",2024-02-01
j*****h,"Effectiveness:great
Skin Suitability:for acne

Packaging the best! Im buying during 9.9 sale, super saving. Fast shipping from seller. Function sgt bende ni bila naik jerawat sesekali tu so sentiasa kena simpan stok",2023-09-13
azmannuru,super fast delivery and item were wrapped in bubble wrap no dent on the box. The patch also come fund with a tweezer which is so hygenic ,2021-03-31
nafami,"Skin Suitability:suitable
Effectiveness:Good

Good product quality good value for money. Fast respond and normal packaging by seller. Love this product so much Fast delivery n service too. Thanks to shopee n seller! 😘",2023-12-18
syazanajwanur97,"Skin Suitability:good
Effectiveness:good

Penghantaran sgt cepat,  berbaloi dengan harga , bubble wrap sanagat sangat tebal, warna pon sangat cantik .....saya suka sangat2 . Terima kasih seller, terima kasih courier,  terima kasih courier, terima kasih kucing pak mat☺️",2023-08-29
afiqamin88,Speedy delivery and well packed. Overall good product quality but unfortunately didn’t get the melano cc lotion as a free gift for purchase above RM100. ,2021-02-28
d*****a,"Skin Suitability:good
Effectiveness:good

Fast delivery. This is my repeated order for many times already, recommended. Good product. Thanks for the free gift , so sweet",2023-10-17
bzlqzs,"Skin Suitability:Just nice for my skin which is combi typeeee
Effectiveness:Absorbs really well

Always buy this brand, very suitable to my skin, works very well as it manage to absorb well. Price very reasonable and I love the fact that it can minimise the scar after removing the acne too. Always buy this brand, very suitable to my skin, works very well as it manage to absorb well. Price very",2023-08-29
s*****s,"Skin Suitability:Been using this brand for 4years +
Effectiveness:Most effective compare to other brands

Penghantaran pantas bungkusan kemas sangat berbaloi maaf gambar tiada sbb dh digunakan overall terbaik",2023-08-29
n*****h,"Skin Suitability:Gentle on skin
Effectiveness:Effectively to stop the bleed of acne

Easy to use, the packaging also good. Thick wrap  Dont have the picture already use",2023-08-29
dillazilla,"Skin Suitability:good
Effectiveness:ok

penghantaran pantas. Anak yg pakai dia kata ok. nanti habis repeat lgi ok..tq seller..Dah komen shopee kata x memenuhi kriteria la pula. habis nak komen mcmana lgi. tu yg aku malas komen.",2022-08-21
sofea_qistina,Veryy good product... good value for money... and faster delivery’s Veryy good product... good value for money... and faster delivery’s Veryy good product... good value for money... and faster delivery’s ,2019-06-24
y*****0,"Effectiveness:don't know yet
Skin Suitability:don't know yet

Good service laju shipping",2024-03-01
a*****o,Received in good condition tq so much fast delivery nice quality,2023-08-29
s*****a,"Skin Suitability:nice
Effectiveness:good

nice packaging, delivery lajuu ! barang berkualiti & lagi murah daripada store luar",2024-03-20
farahinrusli,"Fast shipping by seller, with good product packaging. Items received in good condition. This product works well on me. ",2023-08-31
t*****n,"Effectiveness:Sangat baik
Skin Suitability:Sangat sesuai

Saje try kawan punya dulu pastu hasil dia mmg surut jerawat tu. Then saya beli la untuk diri sendiri alang2 ade promo kan... packaging dia boek 😂 walaupun barang nya satu aje HAHAHA",2023-12-29
f*****n,Item received in good condition. Fast delivery! And got free samples Oxy face wash. Thanksss!,2023-08-29
m*****r,"Barang kemek takde kotak. Sunblock best sebab bagi muka lembap but for me berminyak muka sebab saya oily. Patch first time nak try, sebelum ni pakai day and night okay la, sebab dia tak jadikan parut bila tumbuh jerawat. Sunblock for me best sebab milk but tetap jadi oily kat saya. Fast shipping.",2021-03-08
nurmyra2,"Fast delivery from J&T 📦 🚚💨 Barang sampai dalam keadaan baik, thank you seller 🌸",2023-08-29
zee_96,"Skin Suitability:Great
Effectiveness:Great

Received all items correctly in good condition.",2023-08-29
hani.nisa.92,"Skin Suitability:okay
Effectiveness:tak try lagi

Size comel.. dapat picker cute.. 
Thank you 😊😊",2023-09-01
s*****g,"Effectiveness:works ok
Skin Suitability:acne

Very pricey. Works ok. Long expiry date till 2028. Seller packed well and ships fast.",2023-11-12
j*****1,Pretty quick delivery and very well packed. Although thinking maybe it is less environmental friendly to use so much bubble wrap for such small items...,2023-08-29
peii1616,Received everything in good condition. Expiry date is far away too. Very effective product in curing acne/pimples.,2023-08-29
ohvld184q3,"Ordered on 03/12, seller shipped out on 04/12, received the parcel on 05/12. Very fast shipment from the seller, all item received in goods condition as shown in the photo.",2023-08-31
a*****m,Penghantaran pantas. Barang pun sampai dalam keadaan baik. Berkesan untuk prevent jerawat,2023-08-29
z*****g,Good packaging and fast delivery! Great deal bought on 8.8. Thanks!,2023-08-29
nvd_igd9bg,"Acne patch received as per order 

Product was pack nicely

Fast delivery",2023-08-26
s*****a,"Skin Suitability:good
Effectiveness:good

fast delivery and good to use 👍🏻 吸油力强 适合要熟的小痘痘 晚上用了 早上就熟了不少",2023-08-31
asyikeenkuazizan,"pembungkusan yang kemas 
harga yang baik 
sesuai sangat utk kecutkan jerawat 
tq seller",2023-09-01
d*****y,fast delivery. semua barang elok jaaa. tkde rosak pun. wrapped pun tebal. thankyouu.,2023-08-29
nuna1z,Very fast delivery takes only 2 days. Item arrived in best condition👍,2023-08-29
m*****n,item received in good condition. packed in box. delivery OK.,2023-08-29
f*****7,"Barang sampai dalam keadaan very secure ye. Acne patch ni mmg fav i dari dulu, sgt berkesan. I dapat beli time sale 60 sen je. Berganda murah dari harga asal hehe",2024-03-20
